name,slug,description,benefits,eligibility_criteria,application_process,documents_required,official_link,level,status,source,target_gender,min_age,max_age,target_social_category,target_income_max,is_disability,is_student,is_bpl,featured,benefit_type,helpline,launch_date,application_deadline
₹ 5 Lakh Insurance Cover To Farmers,farmer-insurance,"Launched on 15 August 2018, the scheme ""₹5 Lakh Insurance Cover for Farmers"" is an Insurance Scheme by the Department of Agriculture, Government of Telangana. This scheme provides ₹5 lakh insurance coverage to all farmers aged between 18 and 60 years.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Aaloo Ke Kufri Chipsona-1 Prabhed Ke Kshetra Vistaar Yojana,akckvy,"The scheme aims to increase the production of Kufri Chipsona variety suitable for potato processing in Bihar by expanding its area and to increase the income of farmers by promoting processing.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Acharya Vidyasagar Gau Samvardhan Yojana,avgsy,"The objective of this scheme is to Increase in milk production, improving the economic status of the beneficiaries, increase in milk production capacity of animals and provide employment opportunities.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Advanced Animal Breeding Scheme (Supply of Breedable Pedigree Murrah Bull on Subsidy),aabssobpmbos,"""Advanced Animal Breeding Scheme (Supply of Breedable Pedigree Murrah Bulls on Subsidy)"" aims to improve cattle breeding by supplying pedigreed breedable Murrah bulls to progressive cattle rearers and trained cow servants. Murrah bulls are provided with a 75% subsidy to animal keepers.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
AGR 2 (Farm Mechanization) Scheme Of Farmers Other Than SC/ST,agr2fmsfotscst,"The scheme “AGR 2 (Farm Mechanization) Scheme of Farmers Other Than SC/ST” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
AGR 3 (Farm Mechanization) Scheme For ST Farmers,agr3fmsstf,"The scheme “AGR 3 (Farm Mechanization) Scheme for ST Farmers” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
AGR 4 (Farm Mechanization) Scheme For SC Farmers,agr4fmsscf,"The scheme “AGR 4 (Farm Mechanization) Scheme for SC Farmers” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
AGR-4 Scheduled Castes Sub-Plan for Distribution of Seeds and Fertilizers Input Kits at Subsidised Rates to Scheduled Caste Cultivators,scspdsfik,"The scheme aims to provide subsidised seeds, fertilizers, and organic inputs to Scheduled Caste farmers to improve agricultural productivity.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
AGR-50 Scheme-Assistance To Purchase Tractors,agr50s-apt,"The scheme “AGR-50 Scheme-Assistance to Purchase Tractors” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat in the year 2011-12. The scheme was implemented for the farmers to help in buying the tractor in the state.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
AGR-61 Agro Service Providers for the Purpose of Making Farming More Profitable With the Help of Farm Mechanization,agrasp,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to support farmers in Gujarat by facilitating access to farm implements and mechanization.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
